ID_Cliente;Nome;Sexo;Idade; Renda_Mensal ;Data_Cadastro;Estado_Civil
1;Davi Lucca Carvalho;F;47;23401.88;2024-03-29 00:00:00+00:00;Solteiro
2;Sr. Carlos Eduardo da Cunha;F;20;8772.6;2025-12-11 00:00:00+00:00;Casado
3;Vitória Gonçalves;M;49;24162.82;2023-12-27 00:00:00+00:00;Solteiro
4;Manuela Peixoto;F;0;13717.64;2023-09-06 00:00:00+00:00;Casado
5;Eduardo da Cruz;M;22;12373.88;2025-08-09 00:00:00+00:00;Casado
6;Arthur Freitas;F;72;17249.71;2023-04-22 00:00:00+00:00;Divorciado
7;Maria da Cunha;F;73;14076.18;2025-09-09 00:00:00+00:00;Divorciado
8;Gustavo Henrique Lima;M;65;3351.03;2021-12-25 00:00:00+00:00;Solteiro
9;Vicente Rocha;M;62;8327.29;2024-12-31 00:00:00+00:00;Solteiro
10;Dr. Danilo Novaes;F;45;4664.56;2025-07-17 00:00:00+00:00;Divorciado
11;Ana Carolina Castro;M;23;15705.9;2023-12-29 00:00:00+00:00;Casado
12;Matheus Cardoso;M;32;12175.37;2022-05-05 00:00:00+00:00;Casado
13;Sr. Heitor Rocha;F;75;8045.63;2026-04-15 00:00:00+00:00;Divorciado
14;Dr. Caio Ramos;F;58;24096.29;2024-05-30 00:00:00+00:00;Divorciado
15;Luigi Melo;F;72;12700.35;2021-07-19 00:00:00+00:00;Solteiro
16;João Miguel da Rocha;F;19;0.0;2024-08-16 00:00:00+00:00;Divorciado
17;Davi Lucca Nunes;M;56;18935.1;2022-02-20 00:00:00+00:00;Casado
18;Agatha Farias;M;58;5725.14;2026-03-20 00:00:00+00:00;Casado
19;Srta. Helena da Rocha;M;58;3512.5;2025-10-18 00:00:00+00:00;Divorciado
20;Lorena Silveira;F;64;4327.6;2023-03-07 00:00:00+00:00;Casado
21;Sr. Enzo Gabriel Mendes;F;51;13142.72;2021-07-16 00:00:00+00:00;Casado
22;Eduardo Nunes;F;69;8224.37;2024-05-08 00:00:00+00:00;Casado
23;Sra. Gabriela Aragão;M;73;17296.5;2022-09-28 00:00:00+00:00;Divorciado
24;Yago Cavalcanti;F;23;20018.23;2025-10-06 00:00:00+00:00;Solteiro
25;Marcos Vinicius Barros;F;55;10268.41;2025-08-01 00:00:00+00:00;Divorciado
26;Anthony da Luz;M;57;22244.79;2026-01-11 00:00:00+00:00;Divorciado
27;Marcos Vinicius Pires;F;62;0.0;2021-09-17 00:00:00+00:00;Casado
28;Lorena Araújo;F;25;3513.17;2023-11-08 00:00:00+00:00;Divorciado
29;Yuri Carvalho;F;55;18866.0;2025-09-08 00:00:00+00:00;Solteiro
30;João Guilherme Ferreira;F;35;1978.65;2021-06-27 00:00:00+00:00;Casado
31;Otávio Aragão;F;24;24546.08;2021-06-13 00:00:00+00:00;Casado
32;Sr. João Miguel Cunha;F;35;5717.44;2023-02-09 00:00:00+00:00;Solteiro
33;Kaique Porto;M;59;16419.93;2023-01-06 00:00:00+00:00;Solteiro
34;Francisco Pereira;M;22;20949.66;2024-03-12 00:00:00+00:00;Divorciado
35;Luiz Otávio da Luz;F;0;4711.79;2022-06-13 00:00:00+00:00;Divorciado
36;Davi Lucca Santos;M;52;7165.57;2026-05-09 00:00:00+00:00;Solteiro
37;Giovanna da Conceição;F;68;19964.67;2021-06-29 00:00:00+00:00;Divorciado
38;Alana Martins;F;51;3904.85;2025-03-15 00:00:00+00:00;Solteiro
39;Sra. Ana Luiza da Rosa;M;46;13191.36;2022-06-12 00:00:00+00:00;Divorciado
40;Alice das Neves;F;47;16511.51;2025-07-10 00:00:00+00:00;Solteiro
41;Ana Clara Mendes;M;49;18155.15;2023-12-24 00:00:00+00:00;Casado
42;Luiz Otávio das Neves;M;26;7745.38;2023-09-04 00:00:00+00:00;Divorciado
43;Sr. Rodrigo da Mota;F;47;13232.12;2022-08-22 00:00:00+00:00;Casado
44;Luiz Fernando Rezende;M;45;11947.01;2021-08-29 00:00:00+00:00;Solteiro
45;Cauê Fernandes;M;38;11356.98;2023-06-21 00:00:00+00:00;Divorciado
46;Alana Melo;F;22;3371.15;2023-10-28 00:00:00+00:00;Solteiro
47;Maria Vitória da Conceição;M;53;2627.55;2022-10-20 00:00:00+00:00;Divorciado
48;Gabriel Moreira;F;73;22997.08;2023-11-25 00:00:00+00:00;Solteiro
49;Otávio Vieira;M;27;16830.32;2022-06-28 00:00:00+00:00;Solteiro
50;Otávio Gonçalves;M;66;7829.92;2021-08-16 00:00:00+00:00;Solteiro
51;Cauã Cavalcanti;M;56;23312.21;2024-04-18 00:00:00+00:00;Divorciado
52;Isabel Barbosa;F;39;9554.36;2023-03-16 00:00:00+00:00;Solteiro
53;Lucca Dias;M;65;16269.49;2026-03-18 00:00:00+00:00;Solteiro
54;Maitê Barros;F;39;4946.34;2025-10-23 00:00:00+00:00;Casado
55;Davi Souza;M;74;0.0;2024-05-25 00:00:00+00:00;Solteiro
56;Daniela Barros;F;60;11291.55;2024-05-10 00:00:00+00:00;Divorciado
57;Srta. Elisa Silveira;M;40;11431.94;2021-11-20 00:00:00+00:00;Casado
58;Esther Barros;F;20;6448.34;2024-04-03 00:00:00+00:00;Divorciado
59;Sra. Emanuelly Pereira;M;66;7281.36;2024-03-06 00:00:00+00:00;Casado
60;Thiago Pereira;M;42;13875.46;2025-03-31 00:00:00+00:00;Solteiro
61;Lucca Jesus;M;43;21709.99;2021-10-16 00:00:00+00:00;Solteiro
62;Mirella Azevedo;F;54;11416.97;2023-08-25 00:00:00+00:00;Casado
63;Thiago Costela;M;38;5290.58;2026-04-29 00:00:00+00:00;Divorciado
64;Theo Viana;F;72;3719.54;2023-01-01 00:00:00+00:00;Casado
65;Bruna Ramos;F;65;9280.42;2022-03-27 00:00:00+00:00;Casado
66;Gabriela Nascimento;M;75;19674.23;2024-05-16 00:00:00+00:00;Casado
67;Dr. Samuel da Cruz;M;24;4685.37;2022-05-15 00:00:00+00:00;Solteiro
68;Laura Porto;M;29;23840.75;2025-03-21 00:00:00+00:00;Divorciado
69;Srta. Laís Barros;F;61;23194.87;2025-03-24 00:00:00+00:00;Divorciado
70;Kevin das Neves;F;27;11666.36;2022-07-18 00:00:00+00:00;Casado
71;Bianca Almeida;M;40;0.0;2021-11-18 00:00:00+00:00;Casado
72;Dra. Stella Moraes;F;22;16543.06;2024-02-10 00:00:00+00:00;Solteiro
73;Sarah Nogueira;M;46;22835.39;2022-08-30 00:00:00+00:00;Divorciado
74;Gustavo Henrique Nascimento;M;21;11922.45;2021-12-27 00:00:00+00:00;Casado
75;Esther Rezende;M;33;18041.4;2025-10-01 00:00:00+00:00;Casado
76;Diogo Freitas;F;42;0.0;2025-11-29 00:00:00+00:00;Casado
77;Dra. Catarina Rodrigues;F;22;9046.64;2022-06-27 00:00:00+00:00;Divorciado
78;Sr. Pietro Lopes;M;39;3139.75;2026-04-09 00:00:00+00:00;Divorciado
79;Arthur Monteiro;F;26;15361.98;2023-01-25 00:00:00+00:00;Solteiro
80;Dr. Renan Souza;M;60;17927.37;2024-04-30 00:00:00+00:00;Divorciado
81;Leandro Carvalho;F;50;9811.51;2025-12-31 00:00:00+00:00;Casado
82;Milena Alves;F;30;6591.72;2026-02-13 00:00:00+00:00;Solteiro
83;Ryan Araújo;M;60;9214.99;2022-08-11 00:00:00+00:00;Divorciado
84;João Pedro Cavalcanti;M;64;11616.63;2021-08-23 00:00:00+00:00;Casado
85;Benjamin Barbosa;F;66;19015.17;2022-06-13 00:00:00+00:00;Casado
86;Mirella Duarte;F;75;21075.7;2025-10-15 00:00:00+00:00;Casado
87;Yago Azevedo;F;67;10288.56;2023-11-11 00:00:00+00:00;Divorciado
88;Leandro Fernandes;M;73;7150.08;2025-04-16 00:00:00+00:00;Divorciado
89;João Pedro Moraes;M;36;3196.23;2021-11-29 00:00:00+00:00;Solteiro
90;Stella Azevedo;F;23;23724.64;2024-10-19 00:00:00+00:00;Solteiro
91;Luiz Fernando da Cunha;F;21;10635.6;2023-01-03 00:00:00+00:00;Casado
92;Kamilly Freitas;M;38;23353.66;2025-01-10 00:00:00+00:00;Divorciado
93;Maysa Araújo;F;71;12444.43;2022-12-12 00:00:00+00:00;Solteiro
94;Pedro Henrique Vieira;M;19;7290.99;2023-05-23 00:00:00+00:00;Solteiro
95;Lavínia Caldeira;M;67;8056.82;2026-04-03 00:00:00+00:00;Casado
96;Gabriel Rodrigues;F;22;0.0;2025-12-23 00:00:00+00:00;Casado
97;Enzo Gabriel da Cruz;M;0;4617.13;2022-04-30 00:00:00+00:00;Casado
98;Pietra da Conceição;M;60;0.0;2022-11-29 00:00:00+00:00;Divorciado
99;Ana Vitória Araújo;M;42;21985.29;2023-11-16 00:00:00+00:00;Solteiro
100;Guilherme Correia;M;40;19966.78;2021-09-15 00:00:00+00:00;Casado
101;Matheus Aragão;F;26;2255.19;2023-02-09 00:00:00+00:00;Divorciado
102;Matheus da Conceição;F;62;0.0;2022-11-22 00:00:00+00:00;Solteiro
103;Renan Martins;F;20;8183.93;2025-03-04 00:00:00+00:00;Solteiro
104;João Nogueira;F;50;0.0;2022-02-04 00:00:00+00:00;Divorciado
105;Isis Correia;F;40;21718.9;2024-11-15 00:00:00+00:00;Solteiro
106;Srta. Lara Alves;F;45;22369.78;2024-08-24 00:00:00+00:00;Divorciado
107;Raul Alves;M;49;17671.23;2024-10-29 00:00:00+00:00;Casado
108;Eloah da Mota;F;23;11448.45;2025-09-29 00:00:00+00:00;Solteiro
109;Luiz Felipe Cunha;F;37;11812.8;2021-07-24 00:00:00+00:00;Divorciado
110;Luiza da Paz;M;64;21906.88;2025-11-11 00:00:00+00:00;Casado
111;Dr. Lucas Moraes;M;22;17174.18;2021-12-11 00:00:00+00:00;Casado
112;Samuel Gonçalves;M;27;0.0;2025-07-10 00:00:00+00:00;Divorciado
113;Danilo Costela;F;41;10311.93;2024-06-01 00:00:00+00:00;Divorciado
114;Davi Lucca Ferreira;F;41;11765.76;2024-01-15 00:00:00+00:00;Solteiro
115;Letícia da Rocha;F;33;24060.38;2024-01-21 00:00:00+00:00;Solteiro
116;Sra. Laís da Paz;M;34;19644.15;2021-07-21 00:00:00+00:00;Divorciado
117;Julia Barros;F;30;4118.77;2023-09-16 00:00:00+00:00;Solteiro
